Sample,Volume,Description,Tube,Position
25,24,Initial Rinse,6,--
20,22,Initial Rinse,7,--
11,25,Initial Rinse,8,--
17,21.5,Initial Rinse,9,--
10,21,Initial Rinse,10,--
28,152,Initial Sample,6,Top
15,149,Initial Sample,7,Top
24,151,Initial Sample,8,Top
19,164,Initial Sample,9,Top
12,152,Initial Sample,10,Top
27,152,Whole Sample,6,Top
30,168,Whole Sample,7,Top
2,150,Whole Sample,8,Top
3,150,Whole Sample,9,Top
18,151,Whole Sample,10,Top
22,23,Final Rinse,6,--
13,22,Final Rinse,7,--
9,22,Final Rinse,8,--
1,53,Final Rinse,9,--
7,27,Final Rinse,10,--
29,152,Initial Sample,6,Bottom
21,150,Initial Sample,7,Bottom
14,162,Initial Sample,8,Bottom
16,159,Initial Sample,9,Bottom
5,150,Initial Sample,10,Bottom
4,152,Whole Sample,6,Bottom
26,151,Whole Sample,7,Bottom
8,150,Whole Sample,8,Bottom
6,150,Whole Sample,9,Bottom
23,150,Whole Sample,10,Bottom
